incident_description,primary_cause
"Noticed that the Lab hot water bath (44.5 deg Celcuis) used to heat up bacti. samples had power cord plugged into a green extension cord that had the Ground Prong removed from the male end plug and this was plugged into the power strip on wall that went to ground fault breaker. Not sure why this was done, maybe because bath was tripping breaker, but I think this will bypass ground fault breaker by keeping the ground fault protection device from working if the electric hot water heater element or other electrical part shorts out to ground. If breaker does not trip due to a short then when person placing samples into the water bath could get electrical shock through hand allowing the their body to become the path to ground instead of third prong on plug. Right now I left the water bath plugged into the extension cord because I am not sure why, or how long, the bath was plugged into extension cord in first place and I did not want to have the water bath get cold. But this needs to be investigated to see why the bath was plugged into the extension cord without a ground prong on the male plug. And this needs to be corrected by eliminating the extension cord and just plug the bath into the power strip on the wall that the extension cord is plugged into now. This also needs to be followed up on to see if this causes the breaker to trip.  If the water bath is tripping the breaker the bath, breaker, or wiring needs repaired or replaced. By being set up the way it is now I do not think it is safe and I feel like I need to bring this to managements attention. See attached pics.",-ELECTRICAL-NEGLIGENCE
"As I was doing our monthly fire extinguisher check in the incline car building (KRS 1), I noticed the electronic panel door was open.  As this might cause a shock/arc flash/fire hazard, I closed and secured the door.",RAIN-THUNDERSTORM-ELECTRICAL-WEATHER
"Our contractor had been cleaning #3 well and was getting ready to install  the pump and motor. They noticed the wiring was bad and called me to come and take a look,  I saw what they were talking about and took pictures.  I sent these to my supervisor and he called the electrician to come and replace before they set the pump.  This could have been a real problem if it had not been fix.",-ELECTRICAL-NEGLIGENCE
Unprotected 120 volt receptacle in lunch area within 6' of sink. NEC 210.8 (B)(2) through (5) requires any 125 volt receptacle outlet within 1.8m (6') to be GFCI protected for the safety of personnel.,-ELECTRICAL-NEGLIGENCE
On 1/23/16 I entered the mechanical room @ KRSII and noticed there were several boxes and some plywood boards blocking the access to the only fire extinguisher in the room. Since then I have moved the boxes and  the safety condition has been resolved. ,SNOW
FSR stepped across curb and rolled his foot.  As he started to fall he caught himself on his vehicle antenna.  While the antenna broke it stopped his fall preventing an injury.  Antenna was replaced.,RAIN-THUNDERSTORM-LOW_VISIBILITY-WEATHER
after a power outage low service pumps had to be manually reset. we use the incline car to get 460 ft. down the hill at about 30 feet from the top the car stopped and locked up.i had egress the car and climb over the railing to get to the stairs.after getting to the bottom I saw the chain had came off the bottom gear .I reported it to the weekend supervisior.,RAIN-THUNDERSTORM-WEATHER
While driving a company dump truck my sleeved safety vest caught on the door lock while I was going around a narrow curve and I wasn't able to follow thru with my left hand to go around the curve and I about went off side of road. ,RAIN-THUNDERSTORM-VEHICLE-WEATHER
"As I was leaving Richmond Road Station this morning, I noticed that several limbs from a tree adjacent to the stop sign were obstructing the sign, creating a potential hazard. For a short-term solution, I immediately trimmed several of the branches and improved the sign's visibility. For a long term solution, I have submitted a ticket through MyServices to have the tree professionally trimmed. ",RAIN-THUNDERSTORM-LOW_VISIBILITY-HIGH_WINDS-WEATHER
A contractor working on property was observed using a ladder that was not tall enough to safely access the work area. Contractor admitted that his actions were unsafe and was provided a taller ladder by KAW personnel to complete work.,THUNDERSTORM-FALL-NEGLIGENCE-WEATHER
Warning signals at the railroad crossing on Newtown Pike at Third Street are not working. Train came through and its horn was the only warning. This is a busy road.,RAIN-THUNDERSTORM-VEHICLE-WEATHER
"While I was in the rapid mix vault at Kentucky River Station 1, I noticed exposed wiring.",RAIN-SNOW-ELECTRICAL
A tool chest was temporarily moved for cleaning purposes and it was obstructing the use of a safety shower and eye wash station.  The tool chest was removed and the safety concern was discussed with the employees.  ,-NEGLIGENCE
"Exterior light on ground level of the Main Office is not functioning, creating a potential hazard after-hours. ",RAIN-POOR_VISIBILITY-WEATHER
The contractors working on valve house two left piping in the walk way to the right of the valve house.  This is a low light area due to the construction.  I moved the piping behind the safety fence.,FOG-RAIN-SNOW-POOR_VISIBILITY-WEATHER
"While employee was inspecting the facility, it was observed that the saddles and bolts in the KRS I Rapid Mix vault have degraded, creating a potential engulfment hazard for entrants. ",FOG-RAIN-SNOW-POOR_VISIBILITY-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE-WEATHER
"While doing the weekly eye wash/safety shower flushing, I noticed a garden hose on the floor beside the wash station.  The female end of the hose was laying on the footpad of the eyewash.  I removed and rolled the hose.",RAIN-THUNDERSTORM-POOR_VISIBILITY-WEATHER
Employee was walking through garage and noticed a loose golf ball on the floor next to the picnic tables.  This was out of place and could have been a tripping hazard.,RAIN-LOW_VISIBILITY
A contractor left a vault key in the vault and on the floor of the KRSII High Service Room.  This is causing a possible tripping hazard. The reporting employee had since moved the key and placed it in an appropriate area.,FOG-RAIN-POOR_VISIBILITY-WEATHER
"While a coworker was opening the garage door, as you can see in the picture, a ladder that had been placed inside the track of the door was struck.  Fortunately there was a near by contractor standing there who saw the ladder falling and was able to catch it without causing any injury.  Not sure who placed ladder inside the track of the garage door but we must be careful of placement with any kind of equipment, especially being able to recognize potential paths of movement such as in this case.  In the picture the ladder has already been moved out of the track zone but you can see how this could have been a very serious injury had someone been standing in the path of the falling ladder.  We immediately moved the ladder to an approved area and discussed how to make sure this never happens again.",RAIN-SNOW-POOR_VISIBILITY-WEATHER
